                 cnd  |                root  |      Central Neutron Detector  |                              0*cm 0*cm 137.055*cm  |                     180*deg 0*deg 0*deg  | 33bb99   |            Polycone  |0.0*deg 360*deg 5*counts 89.75*cm 28.95*cm 28.95*cm 28.95*cm 35.56*cm 111.42*cm 39.56*cm 38.56*cm 38.56*cm 38.56*cm -129.992*cm -43.162*cm -43.052*cm 35.5104*cm 43.052*cm  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
 longlgCND_S11_L1_C2  |                 cnd  |Central Neutron Detector, S 11, L 1, C 2  |                              0*cm 0*cm -86.577*cm  |                   0*deg 0*deg -67.5*deg  | 777777   |       G4GenericTrap  |43.415*cm -5.61619663791845*cm 89.8*cm -6.01115413068064*cm 92.8*cm -2.025*cm 92.8*cm -2.025*cm 89.8*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 1 component manual 2 
     lgCND_S11_L2_C1  |                 cnd  |Central Neutron Detector, S 11, L 2, C 1  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -67.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 1 
 longlgCND_S11_L2_C1  |                 cnd  |Central Neutron Detector, S 11, L 2, C 1  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -67.5*deg  | 991111   |       G4GenericTrap  |41.85*cm 2.025*cm 96.32*cm 2.025*cm 99.32*cm 6.41927687320156*cm 99.32*cm 6.02431938043938*cm 96.32*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 1 
     lgCND_S11_L2_C2  |                 cnd  |Central Neutron Detector, S 11, L 2, C 2  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -67.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |           G4_LUCITE  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 2 
 longlgCND_S11_L2_C2  |                 cnd  |Central Neutron Detector, S 11, L 2, C 2  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -67.5*deg  | 777777   |       G4GenericTrap  |41.85*cm -6.02431938043938*cm 96.32*cm -6.41927687320156*cm 99.32*cm -2.025*cm 99.32*cm -2.025*cm 96.32*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 2 component manual 2 
     lgCND_S11_L3_C1  |                 cnd  |Central Neutron Detector, S 11, L 3, C 1  |                              0*cm 0*cm -39.128*cm  |                   0*deg 0*deg -67.5*deg  | aaaaaa   |       G4GenericTrap  |3.874*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 1 
 longlgCND_S11_L3_C1  |                 cnd  |Central Neutron Detector, S 11, L 3, C 1  |                              0*cm 0*cm -83.377*cm  |                   0*deg 0*deg -67.5*deg  | 991111   |       G4GenericTrap  |40.215*cm 2.025*cm 102.69*cm 2.025*cm 105.69*cm 6.82739961572249*cm 105.69*cm 6.4324421229603*cm 102.69*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 1 
     lgCND_S11_L3_C2  |                 cnd  |Central Neutron Detector, S 11, L 3, C 2  |                              0*cm 0*cm -39.128*cm  |                   0*deg 0*deg -67.5*deg  | aaaaaa   |       G4GenericTrap  |3.874*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |           G4_LUCITE  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 2 
 longlgCND_S11_L3_C2  |                 cnd  |Central Neutron Detector, S 11, L 3, C 2  |                              0*cm 0*cm -83.377*cm  |                   0*deg 0*deg -67.5*deg  | 777777   |       G4GenericTrap  |40.215*cm -6.4324421229603*cm 102.69*cm -6.82739961572249*cm 105.69*cm -2.025*cm 105.69*cm -2.025*cm 102.69*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    11   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 11 layer manual 3 component manual 2 
     lgCND_S12_L1_C1  |                 cnd  |Central Neutron Detector, S 12, L 1, C 1  |                              0*cm 0*cm -40.804*cm  |                   0*deg 0*deg -82.5*deg  | eeeeee   |       G4GenericTrap  |4.75*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 1 
 longlgCND_S12_L1_C1  |                 cnd  |Central Neutron Detector, S 12, L 1, C 1  |                              0*cm 0*cm -86.577*cm  |                   0*deg 0*deg -82.5*deg  | 991111   |       G4GenericTrap  |43.415*cm 2.025*cm 89.8*cm 2.025*cm 92.8*cm 6.01115413068064*cm 92.8*cm 5.61619663791845*cm 89.8*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 1 
     lgCND_S12_L1_C2  |                 cnd  |Central Neutron Detector, S 12, L 1, C 2  |                              0*cm 0*cm -40.804*cm  |                   0*deg 0*deg -82.5*deg  | eeeeee   |       G4GenericTrap  |4.75*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |           G4_LUCITE  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 2 
 longlgCND_S12_L1_C2  |                 cnd  |Central Neutron Detector, S 12, L 1, C 2  |                              0*cm 0*cm -86.577*cm  |                   0*deg 0*deg -82.5*deg  | 777777   |       G4GenericTrap  |43.415*cm -5.61619663791845*cm 89.8*cm -6.01115413068064*cm 92.8*cm -2.025*cm 92.8*cm -2.025*cm 89.8*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 1 component manual 2 
     lgCND_S12_L2_C1  |                 cnd  |Central Neutron Detector, S 12, L 2, C 1  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -82.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 1 
 longlgCND_S12_L2_C1  |                 cnd  |Central Neutron Detector, S 12, L 2, C 1  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -82.5*deg  | 991111   |       G4GenericTrap  |41.85*cm 2.025*cm 96.32*cm 2.025*cm 99.32*cm 6.41927687320156*cm 99.32*cm 6.02431938043938*cm 96.32*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 1 
     lgCND_S12_L2_C2  |                 cnd  |Central Neutron Detector, S 12, L 2, C 2  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -82.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |           G4_LUCITE  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 2 
 longlgCND_S12_L2_C2  |                 cnd  |Central Neutron Detector, S 12, L 2, C 2  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -82.5*deg  | 777777   |       G4GenericTrap  |41.85*cm -6.02431938043938*cm 96.32*cm -6.41927687320156*cm 99.32*cm -2.025*cm 99.32*cm -2.025*cm 96.32*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 2 component manual 2 
     lgCND_S12_L3_C1  |                 cnd  |Central Neutron Detector, S 12, L 3, C 1  |                              0*cm 0*cm -39.128*cm  |                   0*deg 0*deg -82.5*deg  | aaaaaa   |       G4GenericTrap  |3.874*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 1 
 longlgCND_S12_L3_C1  |                 cnd  |Central Neutron Detector, S 12, L 3, C 1  |                              0*cm 0*cm -83.377*cm  |                   0*deg 0*deg -82.5*deg  | 991111   |       G4GenericTrap  |40.215*cm 2.025*cm 102.69*cm 2.025*cm 105.69*cm 6.82739961572249*cm 105.69*cm 6.4324421229603*cm 102.69*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 1 
     lgCND_S12_L3_C2  |                 cnd  |Central Neutron Detector, S 12, L 3, C 2  |                              0*cm 0*cm -39.128*cm  |                   0*deg 0*deg -82.5*deg  | aaaaaa   |       G4GenericTrap  |3.874*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |           G4_LUCITE  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 2 
 longlgCND_S12_L3_C2  |                 cnd  |Central Neutron Detector, S 12, L 3, C 2  |                              0*cm 0*cm -83.377*cm  |                   0*deg 0*deg -82.5*deg  | 777777   |       G4GenericTrap  |40.215*cm -6.4324421229603*cm 102.69*cm -6.82739961572249*cm 105.69*cm -2.025*cm 105.69*cm -2.025*cm 102.69*cm -4.4324421229603*cm 35.2*cm -4.82739961572249*cm 38.2*cm -0.025*cm 38.2*cm -0.025*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    12   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 12 layer manual 3 component manual 2 
     lgCND_S13_L1_C1  |                 cnd  |Central Neutron Detector, S 13, L 1, C 1  |                              0*cm 0*cm -40.804*cm  |                   0*deg 0*deg -97.5*deg  | eeeeee   |       G4GenericTrap  |4.75*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 1 
 longlgCND_S13_L1_C1  |                 cnd  |Central Neutron Detector, S 13, L 1, C 1  |                              0*cm 0*cm -86.577*cm  |                   0*deg 0*deg -97.5*deg  | 991111   |       G4GenericTrap  |43.415*cm 2.025*cm 89.8*cm 2.025*cm 92.8*cm 6.01115413068064*cm 92.8*cm 5.61619663791845*cm 89.8*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 1 
     lgCND_S13_L1_C2  |                 cnd  |Central Neutron Detector, S 13, L 1, C 2  |                              0*cm 0*cm -40.804*cm  |                   0*deg 0*deg -97.5*deg  | eeeeee   |       G4GenericTrap  |4.75*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |           G4_LUCITE  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 2 
 longlgCND_S13_L1_C2  |                 cnd  |Central Neutron Detector, S 13, L 1, C 2  |                              0*cm 0*cm -86.577*cm  |                   0*deg 0*deg -97.5*deg  | 777777   |       G4GenericTrap  |43.415*cm -5.61619663791845*cm 89.8*cm -6.01115413068064*cm 92.8*cm -2.025*cm 92.8*cm -2.025*cm 89.8*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 1 component manual 2 
     lgCND_S13_L2_C1  |                 cnd  |Central Neutron Detector, S 13, L 2, C 1  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -97.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 1 
 longlgCND_S13_L2_C1  |                 cnd  |Central Neutron Detector, S 13, L 2, C 1  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -97.5*deg  | 991111   |       G4GenericTrap  |41.85*cm 2.025*cm 96.32*cm 2.025*cm 99.32*cm 6.41927687320156*cm 99.32*cm 6.02431938043938*cm 96.32*cm 0.025*cm 32.1*cm 0.025*cm 35.1*cm 4.41927687320156*cm 35.1*cm 4.02431938043938*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 1 
     lgCND_S13_L2_C2  |                 cnd  |Central Neutron Detector, S 13, L 2, C 2  |                              0*cm 0*cm -39.914*cm  |                   0*deg 0*deg -97.5*deg  | cccccc   |       G4GenericTrap  |4.66*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |           G4_LUCITE  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 2 
 longlgCND_S13_L2_C2  |                 cnd  |Central Neutron Detector, S 13, L 2, C 2  |                              0*cm 0*cm -85.012*cm  |                   0*deg 0*deg -97.5*deg  | 777777   |       G4GenericTrap  |41.85*cm -6.02431938043938*cm 96.32*cm -6.41927687320156*cm 99.32*cm -2.025*cm 99.32*cm -2.025*cm 96.32*cm -4.02431938043938*cm 32.1*cm -4.41927687320156*cm 35.1*cm -0.025*cm 35.1*cm -0.025*cm 32.1*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 2 component manual 2 
     lgCND_S13_L3_C1  |                 cnd  |Central Neutron Detector, S 13, L 3, C 1  |                              0*cm 0*cm -39.128*cm  |                   0*deg 0*deg -97.5*deg  | aaaaaa   |       G4GenericTrap  |3.874*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 3 component manual 1 
 longlgCND_S13_L3_C1  |                 cnd  |Central Neutron Detector, S 13, L 3, C 1  |                              0*cm 0*cm -83.377*cm  |                   0*deg 0*deg -97.5*deg  | 991111   |       G4GenericTrap  |40.215*cm 2.025*cm 102.69*cm 2.025*cm 105.69*cm 6.82739961572249*cm 105.69*cm 6.4324421229603*cm 102.69*cm 0.025*cm 35.2*cm 0.025*cm 38.2*cm 4.82739961572249*cm 38.2*cm 4.4324421229603*cm 35.2*cm  |       G4_PLEXIGLASS  |                  no  |    13   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |sector manual 13 layer manual 3 component manual 1 
